antecedents,consequents,antecedent support,consequent support,support,confidence
"frozenset({'inf_valence_score_high', 'inf_num_polar_words_high'})",frozenset({'usr_abusive_words_ratio_low'}),0.18714285714285714,0.8428571428571429,118.0,0.9007633587786259
"frozenset({'inf_num_moral_words_high', 'inf_valence_score_high'})",frozenset({'usr_abusive_words_ratio_low'}),0.19285714285714287,0.8428571428571429,118.0,0.874074074074074
frozenset({'inf_valence_score_high'}),frozenset({'usr_abusive_words_ratio_low'}),0.5142857142857142,0.8428571428571429,313.0,0.8694444444444445
frozenset({'inf_num_polar_words_high'}),frozenset({'usr_abusive_words_ratio_low'}),0.3942857142857143,0.8428571428571429,238.00000000000003,0.8623188405797102
"frozenset({'inf_num_moral_words_high', 'inf_num_polar_words_high'})",frozenset({'usr_abusive_words_ratio_low'}),0.1657142857142857,0.8428571428571429,99.0,0.8534482758620691
"frozenset({'inf_valence_score_high', 'inf_num_polar_words_low'})",frozenset({'usr_abusive_words_ratio_low'}),0.3271428571428571,0.8428571428571429,195.0,0.8515283842794761
frozenset({'inf_num_polar_words_low'}),frozenset({'usr_abusive_words_ratio_low'}),0.6057142857142858,0.8428571428571429,352.0,0.8301886792452831
"frozenset({'inf_valence_score_low', 'inf_num_polar_words_high'})",frozenset({'usr_abusive_words_ratio_low'}),0.20714285714285716,0.8428571428571429,120.0,0.8275862068965517
frozenset({'inf_num_moral_words_high'}),frozenset({'usr_abusive_words_ratio_low'}),0.3514285714285714,0.8428571428571429,201.0,0.8170731707317074
frozenset({'inf_valence_score_low'}),frozenset({'usr_abusive_words_ratio_low'}),0.4857142857142857,0.8428571428571429,277.0,0.8147058823529413
"frozenset({'inf_valence_score_low', 'inf_num_polar_words_low'})",frozenset({'usr_abusive_words_ratio_low'}),0.2785714285714286,0.8428571428571429,157.0,0.805128205128205
"frozenset({'inf_num_moral_words_high', 'inf_num_polar_words_low'})",frozenset({'usr_abusive_words_ratio_low'}),0.18571428571428572,0.8428571428571429,102.0,0.7846153846153846
"frozenset({'inf_num_moral_words_high', 'inf_valence_score_low'})",frozenset({'usr_abusive_words_ratio_low'}),0.15857142857142856,0.8428571428571429,83.0,0.7477477477477479
