Word	Category
compassion	care_virtue
empathy	care_virtue
kindness	care_virtue
caring	care_virtue
generosity	care_virtue
benevolence	care_virtue
altruism	care_virtue
compassionate	care_virtue
nurture	care_virtue
gentleness	care_virtue
nurturance	care_virtue
sympathy	care_virtue
nurturing	care_virtue
motherly	care_virtue
love	care_virtue
beneficence	care_virtue
empathize	care_virtue
helpfulness	care_virtue
loving	care_virtue
pity	care_virtue
mercy	care_virtue
nurturer	care_virtue
compassionately	care_virtue
nurturers	care_virtue
caringly	care_virtue
empathising	care_virtue
merciful	care_virtue
empathizing	care_virtue
nurtures	care_virtue
warmhearted	care_virtue
empathizers	care_virtue
protectiveness	care_virtue
nurtured	care_virtue
benevolent	care_virtue
mothering	care_virtue
cared	care_virtue
healing	care_virtue
empathises	care_virtue
humane	care_virtue
comfort	care_virtue
pitied	care_virtue
loved	care_virtue
altruist	care_virtue
cares	care_virtue
pitying	care_virtue
comforted	care_virtue
hug	care_virtue
comforting	care_virtue
consoling	care_virtue
empathizes	care_virtue
sympathize	care_virtue
care	care_virtue
caregiver	care_virtue
empathised	care_virtue
hugs	care_virtue
heal	care_virtue
generous	care_virtue
condolences	care_virtue
mothered	care_virtue
charitable	care_virtue
generously	care_virtue
pities	care_virtue
condolence	care_virtue
help	care_virtue
consolingly	care_virtue
solace	care_virtue
mother	care_virtue
healer	care_virtue
hospitality	care_virtue
charity	care_virtue
empathized	care_virtue
healers	care_virtue
pityingly	care_virtue
mothers	care_virtue
child	care_virtue
lovingly	care_virtue
parenting	care_virtue
rescuing	care_virtue
rescuer	care_virtue
loves	care_virtue
consoled	care_virtue
clothe	care_virtue
sympathizing	care_virtue
helping	care_virtue
shared	care_virtue
childhood	care_virtue
mommy	care_virtue
vulnerability	care_virtue
helpers	care_virtue
lover	care_virtue
hospitable	care_virtue
sharer	care_virtue
feeding	care_virtue
nursed	care_virtue
helper	care_virtue
safeness	care_virtue
nurses	care_virtue
protector	care_virtue
motherhood	care_virtue
alleviation	care_virtue
nursemaid	care_virtue
safeguard	care_virtue
protect	care_virtue
healthiness	care_virtue
protecters	care_virtue
patient	care_virtue
nurse	care_virtue
vulnerable	care_virtue
benefit	care_virtue
feed	care_virtue
childcare	care_virtue
rescuers	care_virtue
hugged	care_virtue
helpful	care_virtue
rescues	care_virtue
nursing	care_virtue
protecting	care_virtue
heals	care_virtue
childbearing	care_virtue
hugger	care_virtue
relief	care_virtue
healed	care_virtue
rescued	care_virtue
patients	care_virtue
share	care_virtue
rescue	care_virtue
healthy	care_virtue
hospitalise	care_virtue
hospitalising	care_virtue
hugging	care_virtue
nursery	care_virtue
healthier	care_virtue
sharing	care_virtue
helps	care_virtue
sympathizers	care_virtue
hospitalises	care_virtue
alleviating	care_virtue
wounded	care_virtue
wounds	care_virtue
hospitalize	care_virtue
alleviate	care_virtue
protective	care_virtue
protection	care_virtue
health	care_virtue
relieve	care_virtue
sympathizer	care_virtue
safety	care_virtue
beneficiary	care_virtue
helped	care_virtue
hospital	care_virtue
childbirth	care_virtue
benefits	care_virtue
healthcare	care_virtue
relievers	care_virtue
feeds	care_virtue
hospitalization	care_virtue
benefitting	care_virtue
relieving	care_virtue
safe	care_virtue
feeder	care_virtue
benefitted	care_virtue
hospitalized	care_virtue
unharmful	care_virtue
protects	care_virtue
unharmed	care_virtue
protecter	care_virtue
safely	care_virtue
safekeeping	care_virtue
hospitalizing	care_virtue
wounding	care_virtue
reliever	care_virtue
shares	care_virtue
relieves	care_virtue
alleviates	care_virtue
relieved	care_virtue
hospitalizes	care_virtue
console	care_virtue
protectorate	care_virtue
alleviated	care_virtue
protected	care_virtue
wound	care_virtue
consoles	care_virtue
harm	care_vice
suffer	care_vice
hurt	care_vice
harmed	care_vice
hurting	care_vice
hurts	care_vice
cruel	care_vice
endanger	care_vice
harming	care_vice
harms	care_vice
suffering	care_vice
threaten	care_vice
inflict	care_vice
suffered	care_vice
harmful	care_vice
inflicted	care_vice
mistreat	care_vice
endangers	care_vice
damaging	care_vice
injurious	care_vice
victimize	care_vice
inflicts	care_vice
hurtful	care_vice
suffers	care_vice
inflicting	care_vice
injures	care_vice
vulnerable	care_vice
unkind	care_vice
damage	care_vice
kill	care_vice
die	care_vice
victimizes	care_vice
torment	care_vice
destroy	care_vice
brutalise	care_vice
brutalises	care_vice
distresses	care_vice
endangering	care_vice
mistreats	care_vice
afflict	care_vice
distressing	care_vice
destroys	care_vice
victimises	care_vice
maltreat	care_vice
pain	care_vice
harsh	care_vice
mistreated	care_vice
ravage	care_vice
threatened	care_vice
harass	care_vice
unkindness	care_vice
afflicted	care_vice
threatens	care_vice
threatening	care_vice
distress	care_vice
brutalize	care_vice
tormenting	care_vice
brutalized	care_vice
victimizing	care_vice
damager	care_vice
damaged	care_vice
bully	care_vice
agony	care_vice
abused	care_vice
coldhearted	care_vice
inhuman	care_vice
injured	care_vice
torments	care_vice
brutalizes	care_vice
uncompassionate	care_vice
cruelty	care_vice
tormented	care_vice
mistreating	care_vice
endangered	care_vice
uncaring	care_vice
anguishes	care_vice
destroying	care_vice
killed	care_vice
mistreatment	care_vice
bullied	care_vice
harsher	care_vice
cruelness	care_vice
tortured	care_vice
pained	care_vice
tortures	care_vice
torturing	care_vice
maltreated	care_vice
anguish	care_vice
persecutes	care_vice
maltreatment	care_vice
brutalizing	care_vice
attacked	care_vice
victim	care_vice
crying	care_vice
damages	care_vice
discomforting	care_vice
abusing	care_vice
threat	care_vice
persecute	care_vice
brutalization	care_vice
violent	care_vice
annihilated	care_vice
torturous	care_vice
harasses	care_vice
injurer	care_vice
destroyed	care_vice
molests	care_vice
molest	care_vice
injuring	care_vice
afflicts	care_vice
killing	care_vice
ache	care_vice
wounded	care_vice
persecuted	care_vice
ravages	care_vice
harassed	care_vice
exploited	care_vice
injury	care_vice
brutalisation	care_vice
discomfort	care_vice
unmerciful	care_vice
annihilate	care_vice
exploiters	care_vice
injurers	care_vice
destruction	care_vice
manhandle	care_vice
kills	care_vice
casualties	care_vice
maltreating	care_vice
victims	care_vice
harassing	care_vice
needier	care_vice
smother	care_vice
harassment	care_vice
smothers	care_vice
unhelpful	care_vice
agonize	care_vice
inhumanity	care_vice
duress	care_vice
victimization	care_vice
exploiting	care_vice
cried	care_vice
wounds	care_vice
wounding	care_vice
murderous	care_vice
ravaged	care_vice
uncaringly	care_vice
pains	care_vice
painfulness	care_vice
manhandles	care_vice
bullies	care_vice
assaulted	care_vice
uncharitable	care_vice
distressed	care_vice
persecution	care_vice
murdered	care_vice
ravaging	care_vice
discomforted	care_vice
exploitation	care_vice
torture	care_vice
murderers	care_vice
aches	care_vice
afflictions	care_vice
ungenerous	care_vice
victimizer	care_vice
agonizing	care_vice
paining	care_vice
persecuting	care_vice
exploit	care_vice
harassers	care_vice
malevolent	care_vice
stabs	care_vice
sorrowful	care_vice
assaults	care_vice
needy	care_vice
affliction	care_vice
cries	care_vice
fighting	care_vice
fight	care_vice
attack	care_vice
annihilates	care_vice
sorrow	care_vice
agonized	care_vice
assaulting	care_vice
inhospitable	care_vice
threats	care_vice
ached	care_vice
rapists	care_vice
abuser	care_vice
raped	care_vice
assassinates	care_vice
stabbed	care_vice
inhospitality	care_vice
annihilation	care_vice
punch	care_vice
harshness	care_vice
abusers	care_vice
killer	care_vice
sufferers	care_vice
victimizers	care_vice
smite	care_vice
killers	care_vice
discomforts	care_vice
fatalities	care_vice
molested	care_vice
brutality	care_vice
murdering	care_vice
torturer	care_vice
torturers	care_vice
fights	care_vice
harmfulness	care_vice
bullying	care_vice
casualty	care_vice
sufferer	care_vice
exploiter	care_vice
fatality	care_vice
punches	care_vice
abuses	care_vice
attacks	care_vice
vulnerability	care_vice
carnage	care_vice
tribulation	care_vice
annihilator	care_vice
smothering	care_vice
bullyboy	care_vice
murderer	care_vice
wound	care_vice
stabber	care_vice
tormenters	care_vice
malevolence	care_vice
raping	care_vice
smothered	care_vice
assault	care_vice
genocidal	care_vice
anguishing	care_vice
aching	care_vice
anguished	care_vice
stabbing	care_vice
rapist	care_vice
harasser	care_vice
hungers	care_vice
hunger	care_vice
molesting	care_vice
rape	care_vice
molesters	care_vice
punched	care_vice
violence	care_vice
distressingly	care_vice
molester	care_vice
stabbers	care_vice
neediness	care_vice
assassinate	care_vice
agonizingly	care_vice
tribulations	care_vice
unhelpfulness	care_vice
assaulter	care_vice
puncher	care_vice
punching	care_vice
rapes	care_vice
genocides	care_vice
attackers	care_vice
tormentor	care_vice
assassinations	care_vice
destroyers	care_vice
punchers	care_vice
sorrows	care_vice
tormenter	care_vice
threateningly	care_vice
murder	care_vice
destroyer	care_vice
assassinating	care_vice
crier	care_vice
assassinated	care_vice
molestation	care_vice
attacker	care_vice
murders	care_vice
genocide	care_vice
fighter	care_vice
assassins	care_vice
assaulters	care_vice
hungering	care_vice
achingly	care_vice
hungered	care_vice
murderess	care_vice
assassin	care_vice
exploits	care_vice
fighters	care_vice
assassination	care_vice
equality	fairness_virtue
fairness	fairness_virtue
justice	fairness_virtue
rights	fairness_virtue
equitable	fairness_virtue
civil rights	fairness_virtue
fairplay	fairness_virtue
impartiality	fairness_virtue
equal	fairness_virtue
fairminded	fairness_virtue
proportionality	fairness_virtue
equalities	fairness_virtue
fair	fairness_virtue
integrity	fairness_virtue
impartial	fairness_virtue
reciprocity	fairness_virtue
honesty	fairness_virtue
egalitarian	fairness_virtue
civil right	fairness_virtue
law	fairness_virtue
justness	fairness_virtue
unbias	fairness_virtue
egalitarians	fairness_virtue
parity	fairness_virtue
objectiveness	fairness_virtue
reparations	fairness_virtue
unprejudiced	fairness_virtue
justices	fairness_virtue
laws	fairness_virtue
tribunals	fairness_virtue
retribution	fairness_virtue
reparation	fairness_virtue
lawfully	fairness_virtue
lawful	fairness_virtue
honest	fairness_virtue
compensation	fairness_virtue
lawyers	fairness_virtue
sportsmanship	fairness_virtue
tribunal	fairness_virtue
do unto others	fairness_virtue
golden rule	fairness_virtue
lawyer	fairness_virtue
proportional	fairness_virtue
equity	fairness_virtue
lawyering	fairness_virtue
trust	fairness_virtue
reciprocal	fairness_virtue
being objective	fairness_virtue
justification	fairness_virtue
trustworthiness	fairness_virtue
unbiased	fairness_virtue
vengeance	fairness_virtue
revenge	fairness_virtue
retributions	fairness_virtue
equals	fairness_virtue
equalize	fairness_virtue
refereeing	fairness_virtue
restitution	fairness_virtue
compensating	fairness_virtue
been objective	fairness_virtue
pay back	fairness_virtue
justified	fairness_virtue
justifies	fairness_virtue
retaliation	fairness_virtue
lawyered	fairness_virtue
compensated	fairness_virtue
referees	fairness_virtue
karma	fairness_virtue
will share	fairness_virtue
avenger	fairness_virtue
trusting	fairness_virtue
avengers	fairness_virtue
square deal	fairness_virtue
trusts	fairness_virtue
compensate	fairness_virtue
trustworthy	fairness_virtue
levels the playing field	fairness_virtue
tit for tat	fairness_virtue
retaliate	fairness_virtue
level the playing field	fairness_virtue
eye for an eye	fairness_virtue
square deals	fairness_virtue
repayment	fairness_virtue
payback	fairness_virtue
equities	fairness_virtue
justify	fairness_virtue
dues	fairness_virtue
square dealing	fairness_virtue
referee	fairness_virtue
repaid	fairness_virtue
square dealer	fairness_virtue
equalizer	fairness_virtue
due processes	fairness_virtue
level playing fields	fairness_virtue
repay	fairness_virtue
compensates	fairness_virtue
justifying	fairness_virtue
due processing	fairness_virtue
due process	fairness_virtue
repayments	fairness_virtue
repaying	fairness_virtue
level playing field	fairness_virtue
retaliating	fairness_virtue
square dealers	fairness_virtue
retaliated	fairness_virtue
refereed	fairness_virtue
revenger	fairness_virtue
avenging	fairness_virtue
repays	fairness_virtue
trusted	fairness_virtue
avenge	fairness_virtue
retaliates	fairness_virtue
equalizers	fairness_virtue
avenged	fairness_virtue
avenges	fairness_virtue
cheat	fairness_vice
unfair	fairness_vice
cheating	fairness_vice
unfairness	fairness_vice
injustice	fairness_vice
fraud	fairness_vice
dishonest	fairness_vice
unjust	fairness_vice
cheated	fairness_vice
fraudulent	fairness_vice
cheats	fairness_vice
frauds	fairness_vice
dishonesty	fairness_vice
cheaters	fairness_vice
deception	fairness_vice
injustices	fairness_vice
swindle	fairness_vice
inequity	fairness_vice
hypocrisy	fairness_vice
discrimination	fairness_vice
unequal	fairness_vice
cheater	fairness_vice
inequities	fairness_vice
defraud	fairness_vice
racism	fairness_vice
scam	fairness_vice
liar	fairness_vice
defrauds	fairness_vice
betrayal	fairness_vice
deceit	fairness_vice
defrauded	fairness_vice
inequality	fairness_vice
liars	fairness_vice
defrauders	fairness_vice
hypocrite	fairness_vice
biased	fairness_vice
ripoffs	fairness_vice
scams	fairness_vice
fleecing	fairness_vice
defrauder	fairness_vice
discriminates	fairness_vice
mislead	fairness_vice
inequalities	fairness_vice
prejudice	fairness_vice
fleeced	fairness_vice
defrauding	fairness_vice
ripoff	fairness_vice
scamming	fairness_vice
imposters	fairness_vice
exploitation	fairness_vice
crooked	fairness_vice
oppress	fairness_vice
racist	fairness_vice
oppression	fairness_vice
imposter	fairness_vice
swindled	fairness_vice
hypocrites	fairness_vice
plagiarism	fairness_vice
lied	fairness_vice
untrustworthiness	fairness_vice
hoodwink	fairness_vice
scammed	fairness_vice
blackmail	fairness_vice
bilks	fairness_vice
swindling	fairness_vice
